client,desc,combined,market
State of NJ - Division of Property Management & Construction,Delanco New MVC Facility ,State of NJ - Division of Property Management & Construction Delanco New MVC Facility ,Institutional / Gov Facilities
State of NJ - Division of Property Management & Construction,Wayne Motor Vehicle Commission,State of NJ - Division of Property Management & Construction Wayne Motor Vehicle Commission,Institutional / Gov Facilities
DPR Construction,Atlanta Paralleling Switchgear and Generator Lineup,DPR Construction Atlanta Paralleling Switchgear and Generator Lineup,Datacom / Mission Critical / Tech
DPR Construction,Merck / DPR DC (K22),DPR Construction Merck / DPR DC (K22),Datacom / Mission Critical / Tech
DPR Construction,Oracle Data Center ,DPR Construction Oracle Data Center ,Datacom / Mission Critical / Tech
eBay,PHX Sirius Phase 2 Data Center Cx,eBay PHX Sirius Phase 2 Data Center Cx,Datacom / Mission Critical / Tech
eBay,Quicksilver Phase 3 Data Center,eBay Quicksilver Phase 3 Data Center,Datacom / Mission Critical / Tech
EdgeCore,"Building Facilities in Dallas, Reno, Phoenix","EdgeCore Building Facilities in Dallas, Reno, Phoenix",Datacom / Mission Critical / Tech
Emerson Network Power,"Lulea, Sweden DC Cx","Emerson Network Power Lulea, Sweden DC Cx",Datacom / Mission Critical / Tech
Emory,Emory University EmTech Library Services Center Cx,Emory Emory University EmTech Library Services Center Cx,Healthcare
Emory,MSI Quals,Emory MSI Quals,Education
Emory,"WMRB (Emory University Woodruff Memorial Research Building) Commissioning Renovation Project, Phase 1","Emory WMRB (Emory University Woodruff Memorial Research Building) Commissioning Renovation Project, Phase 1",Healthcare
Emory,J Wing Expansion Cx,Emory J Wing Expansion Cx,Healthcare
Emory,Integration and GUI RFQ,Emory Integration and GUI RFQ,Education
Environet ,DG GUI,Environet  DG GUI,Datacom / Mission Critical / Tech
Epsten Group,BOR Augusta Universtiy Ceramic Lab,Epsten Group BOR Augusta Universtiy Ceramic Lab,Education
Epsten Group,"CTC – Health Science Building Cx – Marietta, GA ","Epsten Group CTC – Health Science Building Cx – Marietta, GA ",Education
Epsten Group,DeKalb County School District 2D ,Epsten Group DeKalb County School District 2D ,Education
Epsten Group,DeKalb County School District 2D - Atlanta,Epsten Group DeKalb County School District 2D - Atlanta,Education
Epsten Group,GA Tech West Campus Dining Hall CxA,Epsten Group GA Tech West Campus Dining Hall CxA,Education
Epsten Group,"GBA – 184-185 GEMA Facility Cx – Atlanta, GA ","Epsten Group GBA – 184-185 GEMA Facility Cx – Atlanta, GA ",Datacom / Mission Critical / Tech
Epsten Group,"GIT – Campus Center Cx – Atlanta, GA ","Epsten Group GIT – Campus Center Cx – Atlanta, GA ",Education
Epsten Group,"GIT – Dainey Parking Lot Retro Cx – Atlanta, GA ","Epsten Group GIT – Dainey Parking Lot Retro Cx – Atlanta, GA ",Education
Epsten Group,"GSU – Armstrong Campus Cx – Savannah, GA ","Epsten Group GSU – Armstrong Campus Cx – Savannah, GA ",Education
Epsten Group,"GSU – Science Park Phase III Cx – Atlanta, GA ","Epsten Group GSU – Science Park Phase III Cx – Atlanta, GA ",Education
Epsten Group,"GSU – Turner Field Retro Cx – Atlanta, GA ","Epsten Group GSU – Turner Field Retro Cx – Atlanta, GA ",Cultural / Recreation / Sport
Epsten Group,GSU Classroom South Renovation CxA,Epsten Group GSU Classroom South Renovation CxA,Education
Epsten Group,GTRI – Cobb South Campus Design,Epsten Group GTRI – Cobb South Campus Design,Commercial / Misc Facilities
Epsten Group,"GTRI – South Cobb Campus Cx – Marietta, GA ","Epsten Group GTRI – South Cobb Campus Cx – Marietta, GA ",Commercial / Misc Facilities
Epsten Group,Healthcare Building - Suwanee GA,Epsten Group Healthcare Building - Suwanee GA,Education
Epsten Group,J-311 - Augusta University Electrical Cx,Epsten Group J-311 - Augusta University Electrical Cx,Education
Epsten Group,"J313 – GA Southern Center for Eng. & Research Cx – Statesboro, GA ","Epsten Group J313 – GA Southern Center for Eng. & Research Cx – Statesboro, GA ",Education
Epsten Group,"KSU – Kennesaw State University – Kennesaw, GA ","Epsten Group KSU – Kennesaw State University – Kennesaw, GA ",Education
Epsten Group,Norfolk Southern - Tucker Data Center Elec Cx,Epsten Group Norfolk Southern - Tucker Data Center Elec Cx,Datacom / Mission Critical / Tech
Epsten Group,"NS - Datacenter Retro Cx Support - Atlanta, GA ","Epsten Group NS - Datacenter Retro Cx Support - Atlanta, GA ",Datacom / Mission Critical / Tech
Epsten Group,Quick Start Regional Training Center CxA,Epsten Group Quick Start Regional Training Center CxA,Education
Epsten Group,Riverdale Fire Station #2 Renovation ,Epsten Group Riverdale Fire Station #2 Renovation ,Institutional / Gov Facilities
Epsten Group,Southern Crescent - Industrial Tech Building Cx ,Epsten Group Southern Crescent - Industrial Tech Building Cx ,Education
Epsten Group,"TCSG – Whitfield Murray Tech College Cx – Dalton, GA ","Epsten Group TCSG – Whitfield Murray Tech College Cx – Dalton, GA ",Education
Epsten Group,UA UMC / SHC Heated Air Curtains,Epsten Group UA UMC / SHC Heated Air Curtains,Education
Epsten Group,"UGA – STEM Facility Expansion Cx – Athens, GA ","Epsten Group UGA – STEM Facility Expansion Cx – Athens, GA ",Education
Epsten Group,UNG Convocation Center CxA,Epsten Group UNG Convocation Center CxA,Education
Epsten Group,University of Alabama RetroCx,Epsten Group University of Alabama RetroCx,Education
Epsten Group,"US Army – Fort Benning Cx – Columbus, GA ","Epsten Group US Army – Fort Benning Cx – Columbus, GA ",Institutional / Gov Facilities
Epsten Group,Wal-Mart Site Audits  – Southeast ,Epsten Group Wal-Mart Site Audits  – Southeast ,Repeatable / Retail
Epsten Group,"Wellstar Cherokee Health Park - Holly Springs, GA","Epsten Group Wellstar Cherokee Health Park - Holly Springs, GA",Education
Epsten Group,Wellstar Development Center Cx,Epsten Group Wellstar Development Center Cx,Healthcare
Epsten Group,Zoo Atlanta - Cyclorama / Elephant Barn,Epsten Group Zoo Atlanta - Cyclorama / Elephant Barn,Cultural / Recreation / Sport
Epsten Group,GT – Living Building Challenge CxA Support ,Epsten Group GT – Living Building Challenge CxA Support ,Education
Equinix,Equinix – NY4 STS and PDU Cx,Equinix Equinix – NY4 STS and PDU Cx,Datacom / Mission Critical / Tech
Equinix,EU Cx ,Equinix EU Cx ,Datacom / Mission Critical / Tech
Equinix,NY1 & NY2 Generator Gear PLC Replacement Cx,Equinix NY1 & NY2 Generator Gear PLC Replacement Cx,Datacom / Mission Critical / Tech
Equinix,NY1 BMS System Commissioning,Equinix NY1 BMS System Commissioning,Datacom / Mission Critical / Tech
Equinix,NY2 - Additional Power Cx of STSs / PDUs,Equinix NY2 - Additional Power Cx of STSs / PDUs,Datacom / Mission Critical / Tech
Equinix,NY2 - STS Replacement Cx,Equinix NY2 - STS Replacement Cx,Datacom / Mission Critical / Tech
Equinix,NY2 STS / PDU Cx,Equinix NY2 STS / PDU Cx,Datacom / Mission Critical / Tech
Equinix,NY4 - STS / PDU Commissioning,Equinix NY4 - STS / PDU Commissioning,Datacom / Mission Critical / Tech
Equinix,NY7 STS / PDU Commissioning,Equinix NY7 STS / PDU Commissioning,Datacom / Mission Critical / Tech
Equinix,San Jose,Equinix San Jose,Datacom / Mission Critical / Tech
Equinix,AM1.3,Equinix AM1.3,Datacom / Mission Critical / Tech
Equinix,Equinix NY4 - STS / PDU Cx,Equinix Equinix NY4 - STS / PDU Cx,Datacom / Mission Critical / Tech
Equinix,NY2IBX Facility – Power Add - Cx,Equinix NY2IBX Facility – Power Add - Cx,Datacom / Mission Critical / Tech
Equinix,NY4 Cage 100 - STS / PDU Cx,Equinix NY4 Cage 100 - STS / PDU Cx,Datacom / Mission Critical / Tech
"Facebook, Inc.",Alabama DC,"Facebook, Inc. Alabama DC",Datacom / Mission Critical / Tech
"Facebook, Inc.","Ashburn, VA - ASH6 Expansion 2017 Commissioning","Facebook, Inc. Ashburn, VA - ASH6 Expansion 2017 Commissioning",Datacom / Mission Critical / Tech
"Facebook, Inc.",ATN 1&2 - UPS Expansion Cx,"Facebook, Inc. ATN 1&2 - UPS Expansion Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",ATN Tape Cabinets Cx,"Facebook, Inc. ATN Tape Cabinets Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",ATN UPS Upgrade Cx,"Facebook, Inc. ATN UPS Upgrade Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",ATN1&2 HMD-11C Refeed & DX Upgrade,"Facebook, Inc. ATN1&2 HMD-11C Refeed & DX Upgrade",Datacom / Mission Critical / Tech
"Facebook, Inc.",ATN1B – Row Reserve Loop Cx,"Facebook, Inc. ATN1B – Row Reserve Loop Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.","CLN1 - Clonee, Ireland - Row Reserve Loop Oversight","Facebook, Inc. CLN1 - Clonee, Ireland - Row Reserve Loop Oversight",Datacom / Mission Critical / Tech
"Facebook, Inc.","F16 Cx –  ATN3, FRC2","Facebook, Inc. F16 Cx –  ATN3, FRC2",Datacom / Mission Critical / Tech
"Facebook, Inc.",F16 Cx –  FTW2,"Facebook, Inc. F16 Cx –  FTW2",Datacom / Mission Critical / Tech
"Facebook, Inc.",F16 Cx – FTW1,"Facebook, Inc. F16 Cx – FTW1",Datacom / Mission Critical / Tech
"Facebook, Inc.",F16 Cx – PRN3,"Facebook, Inc. F16 Cx – PRN3",Datacom / Mission Critical / Tech
"Facebook, Inc.","Forest City, NC - FRC 3B Row Conversion Cx","Facebook, Inc. Forest City, NC - FRC 3B Row Conversion Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC - CRAC Unit Troubleshooting,"Facebook, Inc. FRC - CRAC Unit Troubleshooting",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC - Row Reserve Loop Cx,"Facebook, Inc. FRC - Row Reserve Loop Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC Water Filtration Skid Design ,"Facebook, Inc. FRC Water Filtration Skid Design ",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC1 - MDF Upgrade Cx,"Facebook, Inc. FRC1 - MDF Upgrade Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC1 1B 08-28 Retrofit Cx Services,"Facebook, Inc. FRC1 1B 08-28 Retrofit Cx Services",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC1 DX Unit Re-Feed,"Facebook, Inc. FRC1 DX Unit Re-Feed",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC3 BDF Upgrade Cx,"Facebook, Inc. FRC3 BDF Upgrade Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC3A Row Conversion,"Facebook, Inc. FRC3A Row Conversion",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC3D Row Reserve Loop Cx,"Facebook, Inc. FRC3D Row Reserve Loop Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",GA - 90MW build,"Facebook, Inc. GA - 90MW build",Datacom / Mission Critical / Tech
"Facebook, Inc.",LLA1-AB,"Facebook, Inc. LLA1-AB",Datacom / Mission Critical / Tech
"Facebook, Inc.",New Data Center Multiple Locations,"Facebook, Inc. New Data Center Multiple Locations",Datacom / Mission Critical / Tech
"Facebook, Inc.",VLL1 Commissioning,"Facebook, Inc. VLL1 Commissioning",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC1 Secure Cage Retrofit Cx,"Facebook, Inc. FRC1 Secure Cage Retrofit Cx",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC1.18 Row Conversion – Cx ,"Facebook, Inc. FRC1.18 Row Conversion – Cx ",Datacom / Mission Critical / Tech
"Facebook, Inc.",FRC3D Row Conversion Cx,"Facebook, Inc. FRC3D Row Conversion Cx",Datacom / Mission Critical / Tech
Fairlead Commercial Real Estate,ABBC Audit 34 Peachtree Street,Fairlead Commercial Real Estate ABBC Audit 34 Peachtree Street,Commercial / Misc Facilities
Faithful+Gould,Faithful+Gould LL87 Hotel,Faithful+Gould Faithful+Gould LL87 Hotel,Lodging / Residential
Faithful+Gould,Schlumberger ALS Facility,Faithful+Gould Schlumberger ALS Facility,Datacom / Mission Critical / Tech
Federal Reserve Bank of Richmond,Electrical Distribution System Commissioning,Federal Reserve Bank of Richmond Electrical Distribution System Commissioning,Institutional / Gov Facilities
Federal Reserve Bank of Richmond,Federal Reserve Bank of Richmond,Federal Reserve Bank of Richmond Federal Reserve Bank of Richmond,Institutional / Gov Facilities
Fertility Institute of NY & NJ,Clinic HVAC Functional Survey,Fertility Institute of NY & NJ Clinic HVAC Functional Survey,Healthcare
First Gulf,First Gulf - 1401 Lawrence - Peer Review / PL,First Gulf First Gulf - 1401 Lawrence - Peer Review / PL,Commercial / Misc Facilities
FIT ,Chiller Plant Master Plan,FIT  Chiller Plant Master Plan,Datacom / Mission Critical / Tech
"Foresite Group, Inc",Colorado public safety network,"Foresite Group, Inc Colorado public safety network",Datacom / Mission Critical / Tech
"Foresite Group, Inc","Data Center - Pflugerville, TX","Foresite Group, Inc Data Center - Pflugerville, TX",Datacom / Mission Critical / Tech
"Foresite Group, Inc","Design Build project in Calhoun, GA","Foresite Group, Inc Design Build project in Calhoun, GA",Commercial / Misc Facilities
"Foresite Group, Inc",GA Tech - Ninth Street Corridor ,"Foresite Group, Inc GA Tech - Ninth Street Corridor ",Education
"Foresite Group, Inc",GT - Greenfield Corridor - Pedestrial Lighting Design ,"Foresite Group, Inc GT - Greenfield Corridor - Pedestrial Lighting Design ",Education
Fulton County,Distech lead / partner.  600k sqft build. ,Fulton County Distech lead / partner.  600k sqft build. ,Institutional / Gov Facilities
g5Smart,Smart City,g5Smart Smart City,Commercial / Misc Facilities
Gardiner & Theobald ,Gardiner & Theobald - 123 Williams St. Retro-Cx ,Gardiner & Theobald  Gardiner & Theobald - 123 Williams St. Retro-Cx ,Commercial / Misc Facilities
GEMA / GDPS,Office Renovations (Design Build),GEMA / GDPS Office Renovations (Design Build),Commercial / Misc Facilities
Georgia Power,Douglasville Facility - Protovision,Georgia Power Douglasville Facility - Protovision,Infrastructure / Transp. / Utility Co.
"Foresite Group, Inc",TBD,"Foresite Group, Inc TBD",Datacom / Mission Critical / Tech
Grady Health System,ED Renovation/Expansion Commissioning Services,Grady Health System ED Renovation/Expansion Commissioning Services,Healthcare
Great Gulf (First Gulf),TBD,Great Gulf (First Gulf) TBD,Commercial / Misc Facilities
GSFIC,Atlanta Two Capitol Square Cx,GSFIC Atlanta Two Capitol Square Cx,Commercial / Misc Facilities
GSFIC,CTC Campus Building Renovations Cx,GSFIC CTC Campus Building Renovations Cx,Education
GSFIC,Dalton GA Dept. of Corrections,GSFIC Dalton GA Dept. of Corrections,Institutional / Gov Facilities
GSFIC,GA Regents University Cx Services,GSFIC GA Regents University Cx Services,Education
GSFIC,GA Regional Forensic Unit Design,GSFIC GA Regional Forensic Unit Design,Institutional / Gov Facilities
GSFIC,Georgia Tech Price Gilbert Library & Crosland Tower Renewal - Building Commissioning,GSFIC Georgia Tech Price Gilbert Library & Crosland Tower Renewal - Building Commissioning,Education
GSFIC,"Gwinnett County Human Resources Bldg CxA - Lawrenceville, GA","GSFIC Gwinnett County Human Resources Bldg CxA - Lawrenceville, GA",Education
GSFIC,Gwinnett Tech Cx ,GSFIC Gwinnett Tech Cx ,Education
GSFIC,Juvenile Justice Pre-Release Center Commissioning ,GSFIC Juvenile Justice Pre-Release Center Commissioning ,Institutional / Gov Facilities
GSFIC,Lanier Tech CxA ,GSFIC Lanier Tech CxA ,Education
GSFIC,Middle Georgia Technical College (MGTC) Commissioning,GSFIC Middle Georgia Technical College (MGTC) Commissioning,Education
GSFIC,North GA Tech College Commissioning Services ,GSFIC North GA Tech College Commissioning Services ,Education
